type,id,mux_channel,x_mm,y_mm
sipm,1,1,0.0,0.0
sipm,2,2,10.0,0.0
sipm,3,3,20.0,0.0
sipm,4,4,30.0,0.0
sipm,5,5,40.0,0.0
sipm,6,6,50.0,0.0
sipm,7,7,60.0,0.0
sipm,8,8,70.0,0.0
sipm,9,9,80.0,0.0
sipm,10,10,90.0,0.0
sipm,11,11,0.0,10.0
sipm,12,12,10.0,10.0
sipm,13,13,20.0,10.0
sipm,14,14,30.0,10.0
sipm,15,15,40.0,10.0
sipm,16,16,50.0,10.0
sipm,17,17,60.0,10.0
sipm,18,18,70.0,10.0
sipm,19,19,80.0,10.0
sipm,20,20,90.0,10.0
sipm,21,21,0.0,20.0
sipm,22,22,10.0,20.0
sipm,23,23,20.0,20.0
sipm,24,24,30.0,20.0
sipm,25,25,40.0,20.0
sipm,26,26,50.0,20.0
sipm,27,27,60.0,20.0
sipm,28,28,70.0,20.0
sipm,29,29,80.0,20.0
sipm,30,30,90.0,20.0
sipm,31,31,0.0,30.0
sipm,32,32,10.0,30.0
sipm,33,33,20.0,30.0
sipm,34,34,30.0,30.0
sipm,35,35,40.0,30.0
sipm,36,36,50.0,30.0
sipm,37,37,60.0,30.0
sipm,38,38,70.0,30.0
sipm,39,39,80.0,30.0
sipm,40,40,90.0,30.0
sipm,41,41,0.0,40.0
sipm,42,42,10.0,40.0
sipm,43,43,20.0,40.0
sipm,44,44,30.0,40.0
sipm,45,45,40.0,40.0
sipm,46,46,50.0,40.0
sipm,47,47,60.0,40.0
sipm,48,48,70.0,40.0
sipm,49,49,80.0,40.0
sipm,50,50,90.0,40.0
sipm,51,51,0.0,50.0
sipm,52,52,10.0,50.0
sipm,53,53,20.0,50.0
sipm,54,54,30.0,50.0
sipm,55,55,40.0,50.0
sipm,56,56,50.0,50.0
sipm,57,57,60.0,50.0
sipm,58,58,70.0,50.0
sipm,59,59,80.0,50.0
sipm,60,60,90.0,50.0
sipm,61,61,0.0,60.0
sipm,62,62,10.0,60.0
sipm,63,63,20.0,60.0
sipm,64,64,30.0,60.0
sipm,65,65,40.0,60.0
sipm,66,66,50.0,60.0
sipm,67,67,60.0,60.0
sipm,68,68,70.0,60.0
sipm,69,69,80.0,60.0
sipm,70,70,90.0,60.0
sipm,71,71,0.0,70.0
sipm,72,72,10.0,70.0
sipm,73,73,20.0,70.0
sipm,74,74,30.0,70.0
sipm,75,75,40.0,70.0
sipm,76,76,50.0,70.0
sipm,77,77,60.0,70.0
sipm,78,78,70.0,70.0
sipm,79,79,80.0,70.0
sipm,80,80,90.0,70.0
sipm,81,81,0.0,80.0
sipm,82,82,10.0,80.0
sipm,83,83,20.0,80.0
sipm,84,84,30.0,80.0
sipm,85,85,40.0,80.0
sipm,86,86,50.0,80.0
sipm,87,87,60.0,80.0
sipm,88,88,70.0,80.0
sipm,89,89,80.0,80.0
sipm,90,90,90.0,80.0
sipm,91,91,0.0,90.0
sipm,92,92,10.0,90.0
sipm,93,93,20.0,90.0
sipm,94,94,30.0,90.0
sipm,95,95,40.0,90.0
sipm,96,96,50.0,90.0
dark,D,,-30.0,0.0
lamp,L,,45.0,-30.0
photodiode,P,,-20.0,0.0
